,0
0,3
1,4
2,5
3,8
4,10
5,15
6,18
7,19
8,20
9,21
10,22
11,24
12,28
13,29
14,31
15,33
16,36
17,40
18,43
19,45
20,47
21,52
22,54
23,57
24,64
25,68
26,73
27,75
28,77
29,84
30,93
31,95
32,97
33,99
34,108
35,111
36,113
37,115
38,117
39,119
40,123
41,130
42,132
43,134
44,139
45,143
46,147
47,150
48,152
49,154
50,156
51,168
52,172
53,174
54,176
55,182
56,186
57,189
58,192
59,194
60,197
61,200
62,203
63,205
64,208
65,210
66,217
67,221
68,223
69,225
70,228
71,230
72,232
73,239
74,243
75,246
76,252
77,254
78,256
79,260
80,263
81,266
82,268
83,270
84,274
85,277
86,281
87,283
88,285
89,289
90,295
91,297
92,299
93,301
94,303
95,308
96,311
97,315
98,317
99,321
100,328
101,330
102,332
103,338
104,344
105,361
106,364
107,369
108,371
109,373
110,375
111,378
112,386
113,391
114,395
115,397
116,403
117,407
118,409
119,413
120,419
121,421
122,425
123,432
124,437
125,439
126,443
127,445
128,455
129,458
130,461
131,466
132,469
133,473
134,478
135,480
136,485
137,488
138,490
139,493
140,498
141,502
142,504
143,509
144,514
145,519
146,522
147,525
148,527
149,529
150,533
151,540
152,546
153,549
154,551
155,553
156,558
157,560
158,570
159,572
160,577
161,580
162,583
163,586
164,588
165,591
166,593
167,604
168,609
169,611
170,613
171,616
172,618
173,620
174,631
175,635
176,638
177,644
178,649
179,655
180,658
181,660
182,662
183,664
184,667
185,671
186,674
187,677
188,683
189,690
190,699
191,702
192,704
193,714
194,723
195,728
196,729
197,732
198,733
199,734
200,735
201,736
202,737
203,739
204,742
205,747
206,750
207,752
208,756
209,759
210,763
211,768
212,770
213,772
214,775
215,779
216,781
217,788
218,792
219,797
220,799
221,802
222,806
223,808
224,809
225,810
226,811
227,812
228,815
229,821
230,828
231,832
232,834
233,836
234,840
235,843
236,846
237,850
238,853
239,857
240,861
241,865
242,872
243,875
244,882
245,884
246,888
247,890
248,899
249,901
250,903
251,905
252,906
253,907
254,909
255,915
256,921
257,923
258,925
259,928
260,932
261,935
262,937
263,939
264,941
265,943
266,946
267,948
268,950
269,955
270,957
271,959
272,964
273,966
274,968
275,971
276,973
277,977
278,983
279,986
280,988
281,993
282,997
283,999
284,1004
285,1006
286,1008
287,1010
288,1015
289,1017
290,1019
291,1022
292,1023
293,1024
294,1026
295,1028
296,1029
297,1031
298,1033
299,1037
300,1042
301,1044
302,1047
303,1049
304,1053
305,1056
306,1057
307,1059
308,1060
309,1061
310,1062
311,1064
312,1068
313,1071
314,1072
315,1076
316,1078
317,1080
318,1087
319,1093
320,1096
321,1098
322,1100
323,1104
324,1107
325,1111
326,1113
327,1115
328,1120
329,1122
330,1125
331,1129
332,1132
333,1135
334,1138
335,1144
336,1146
337,1149
338,1153
339,1155
340,1159
341,1161
342,1162
343,1163
344,1167
345,1175
346,1177
347,1179
348,1181
349,1184
350,1186
351,1188
352,1191
353,1197
354,1200
355,1203
356,1206
357,1208
358,1210
359,1213
360,1215
361,1218
362,1220
363,1221
364,1223
365,1226
366,1236
367,1238
368,1243
369,1248
370,1250
371,1252
372,1254
373,1255
374,1260
375,1262
376,1264
377,1267
378,1269
379,1272
380,1274
381,1276
382,1281
383,1284
384,1288
385,1291
386,1297
387,1299
388,1301
389,1303
390,1305
391,1307
392,1315
393,1316
394,1318
395,1320
396,1322
397,1324
398,1325
399,1326
400,1329
401,1331
402,1333
403,1336
404,1339
405,1340
406,1342
407,1344
408,1346
409,1349
410,1352
411,1353
412,1355
413,1357
414,1359
415,1360
416,1361
417,1363
418,1365
419,1368
420,1371
421,1372
422,1374
423,1377
424,1379
425,1384
426,1386
427,1389
428,1402
429,1404
430,1406
431,1415
432,1419
433,1421
434,1426
435,1432
436,1435
437,1438
438,1440
439,1442
440,1444
441,1447
442,1449
443,1456
444,1458
445,1460
446,1462
447,1465
448,1472
449,1474
450,1479
451,1484
452,1487
453,1489
454,1492
455,1493
456,1495
457,1497
458,1501
459,1503
460,1507
461,1511
462,1516
463,1518
464,1524
465,1528
466,1531
467,1533
468,1535
469,1543
470,1548
471,1550
472,1554
473,1557
474,1561
475,1565
476,1568
477,1572
478,1574
479,1576
480,1579
481,1582
482,1584
483,1587
484,1590
485,1594
486,1605
487,1608
488,1617
489,1619
490,1621
491,1623
492,1625
493,1627
494,1630
495,1634
496,1636
497,1640
498,1645
499,1647
500,1649
501,1651
502,1653
503,1656
504,1660
505,1662
506,1666
507,1667
508,1668
509,1669
510,1673
511,1676
512,1678
513,1681
514,1682
515,1684
516,1686
517,1688
518,1690
519,1698
520,1711
521,1714
522,1717
523,1722
524,1724
525,1727
526,1729
527,1731
528,1732
529,1735
530,1736
531,1738
532,1740
533,1741
534,1749
535,1751
536,1753
537,1756
538,1758
539,1761
540,1763
541,1765
542,1769
543,1777
544,1779
545,1781
546,1783
547,1786
548,1788
549,1790
550,1793
551,1795
552,1797
553,1800
554,1804
555,1806
556,1808
557,1810
558,1815
559,1818
560,1824
561,1826
562,1828
563,1832
564,1835
565,1837
566,1840
567,1844
568,1846
569,1848
570,1850
571,1853
572,1855
573,1857
574,1860
575,1862
576,1864
577,1866
578,1868
579,1873
580,1875
581,1879
582,1882
583,1884
584,1886
585,1889
586,1896
587,1898
588,1900
589,1903
590,1905
591,1914
592,1916
593,1919
594,1921
595,1923
596,1925
597,1930
598,1932
599,1936
600,1939
601,1942
602,1944
603,1946
604,1948
605,1950
606,1955
607,1956
608,1957
609,1959
610,1962
611,1964
612,1971
613,1977
614,1992
615,1995
616,1997
617,1999
618,2001
619,2004
620,2008
621,2012
622,2016
623,2018
624,2020
625,2022
626,2026
627,2028
628,2030
629,2037
630,2039
631,2043
632,2045
633,2047
634,2049
635,2052
636,2054
637,2056
638,2058
639,2060
640,2068
641,2070
642,2072
643,2074
644,2077
645,2083
646,2085
647,2087
648,2090
649,2091
650,2092
651,2094
652,2096
653,2101
654,2103
655,2105
656,2109
657,2113
658,2116
659,2119
660,2125
661,2127
662,2130
663,2134
664,2136
665,2138
666,2140
667,2142
668,2145
669,2149
670,2154
671,2155
672,2157
673,2159
674,2161
675,2162
676,2172
677,2183
678,2186
679,2187
680,2188
681,2191
682,2194
683,2195
684,2199
685,2201
686,2205
687,2208
688,2211
689,2213
690,2218
691,2223
692,2228
693,2229
694,2230
695,2232
696,2234
697,2237
698,2239
699,2243
700,2244
701,2245
702,2246
703,2247
704,2251
705,2253
706,2256
707,2258
708,2260
709,2262
710,2264
711,2266
712,2268
713,2271
714,2274
715,2278
716,2280
717,2282
718,2283
719,2284
720,2286
721,2289
722,2291
723,2294
724,2296
725,2300
726,2303
727,2305
728,2307
729,2311
730,2313
731,2315
732,2318
733,2321
734,2323
735,2327
736,2333
737,2337
738,2342
739,2346
740,2348
741,2352
742,2359
743,2361
744,2363
745,2365
746,2371
747,2373
748,2376
749,2380
750,2382
751,2384
752,2386
753,2388
754,2391
755,2395
756,2397
757,2400
758,2402
759,2404
760,2410
761,2415
762,2420
763,2423
764,2428
765,2431
766,2434
767,2437
768,2439
769,2441
770,2444
771,2446
772,2448
773,2450
774,2453
775,2456
776,2459
777,2461
778,2471
779,2475
780,2477
781,2479
782,2483
783,2485
784,2490
785,2492
786,2495
787,2497
788,2502
789,2506
790,2508
791,2512
792,2515
793,2517
794,2520
795,2521
796,2522
797,2528
798,2529
799,2533
800,2535
801,2538
802,2541
803,2544
804,2546
805,2549
806,2553
807,2560
808,2562
809,2569
810,2574
811,2576
812,2578
813,2581
814,2583
815,2588
816,2593
817,2597
818,2604
819,2607
820,2611
821,2614
822,2616
823,2622
824,2625
825,2634
826,2639
827,2645
828,2650
829,2652
830,2654
831,2656
832,2658
833,2663
834,2666
