normalize,fear,happy
0,0.04,0.07
2,0.03,0.08
4,0.04,0.05
6,0.04,0.08
8,0.04,0.07
10,0.03,0.05
12,0.02,0.09
14,0.03,0.04
16,0.03,0.04
18,0.03,0.04
20,0.02,0.04
22,0.01,0.05
24,0.02,0.07
26,0.02,0.05
28,0.03,0.03
30,0.02,0.04
32,0.03,0.04
34,0.02,0.04
36,0.03,0.11
38,0.03,0.04
40,0.04,0.04
42,0.03,0.04
44,0.03,0.04
45,0.02,0.05
47,0.02,0.04
49,0.02,0.04
51,0.03,0.05
53,0.04,0.03
55,0.03,0.02
57,0.04,0.03
59,0.04,0.07
61,0.05,0.04
63,0.03,0.05
65,0.03,0.03
67,0.04,0.03
69,0.03,0.03
71,0.03,0.03
73,0.03,0.03
75,0.01,0.07
77,0.04,0.03
79,0.03,0.02
81,0.06,0.02
83,0.04,0.04
85,0.05,0.02
87,0.04,0.03
89,0.06,0.02
91,0.08,0.02
93,0.05,0.02
95,0.08,0.02
97,0.03,0.01
99,0.03,0.02
101,0.04,0.01
103,0.03,0.01
105,0.03,0.02
107,0.05,0.02
109,0.06,0.01
111,0.04,0.02
113,0.07,0.02
115,0.03,0.01
117,0.04,0.02
119,0.05,0.01
121,0.04,0.03
123,0.04,0.02
125,0.01,0.02
127,0.01,0.02
129,0.02,0.04
131,0.02,0.03
132,0.02,0.03
134,0.03,0.07
136,0.02,0.04
138,0.05,0.05
140,0.05,0.02
142,0.04,0.02
144,0.02,0.03
146,0.05,0.02
148,0.03,0.03
150,0.02,0.02
152,0.03,0.04
154,0.02,0.08
156,0.03,0.09
158,0.03,0.03
160,0.02,0.05
162,0.04,0.03
164,0.04,0.03
166,0.01,0.02
168,0.01,0.09
170,0.02,0.05
172,0.04,0.04
174,0.03,0.03
176,0.03,0.05
178,0.06,0.03
180,0.02,0.04
182,0.03,0.07
184,0.04,0.03
186,0.02,0.1
188,0.05,0.05
190,0.03,0.06
192,0.04,0.07
194,0.07,0.04
196,0.04,0.04
198,0.04,0.04
200,0.03,0.05
202,0.02,0.08
204,0.04,0.05
206,0.06,0.04
208,0.02,0.03
210,0.02,0.02
212,0.01,0.04
214,0.02,0.04
216,0.01,0.04
218,0.03,0.03
219,0.02,0.03
221,0.02,0.06
223,0.03,0.07
225,0.02,0.04
227,0.02,0.05
229,0.02,0.03
231,0.02,0.05
233,0.02,0.05
235,0.02,0.06
237,0.02,0.06
239,0.03,0.03
241,0.02,0.03
243,0.01,0.02
245,0.02,0.03
247,0.03,0.02
249,0.03,0.06
251,0.03,0.01
253,0.03,0.01
255,0.01,0.04
257,0.05,0.01
259,0.03,0.01
261,0.03,0.03
263,0.03,0.02
265,0.03,0.04
267,0.03,0.02
269,0.03,0.01
271,0.03,0.02
273,0.04,0.02
275,0.03,0.01
277,0.03,0.01
279,0.01,0.02
281,0.02,0.03
283,0.03,0.01
285,0.03,0.01
287,0.04,0.01
289,0.02,0.01
291,0.02,0.04
293,0.03,0.03
295,0.03,0.01
297,0.03,0.02
299,0.03,0.02
301,0.03,0.01
303,0.02,0.02
305,0.03,0.02
307,0.03,0.01
308,0.02,0.04
310,0.03,0.03
312,0.02,0.03
314,0.02,0.02
316,0.06,0.01
318,0.02,0.02
320,0.03,0.02
322,0.04,0.01
324,0.03,0.02
326,0.05,0.02
328,0.12,0.02
330,0.04,0.02
332,0.04,0.01
334,0.04,0.01
336,0.02,0.02
338,0.08,0.01
340,0.06,0.02
342,0.03,0.04
344,0.04,0.02
346,0.06,0.01
348,0.03,0.02
350,0.05,0.02
352,0.02,0.02
354,0.02,0.03
356,0.02,0.04
358,0.03,0.02
360,0.03,0.04
362,0.04,0.04
364,0.05,0.01
366,0.04,0.01
368,0.04,0.02
370,0.05,0.02
372,0.03,0.04
374,0.02,0.03
376,0.02,0.04
378,0.03,0.02
380,0.03,0.02
382,0.04,0.02
384,0.03,0.03
386,0.04,0.01
388,0.05,0.01
390,0.03,0.03
392,0.03,0.01
394,0.03,0.02
395,0.03,0.02
397,0.04,0.02
399,0.03,0.01
401,0.06,0.02
403,0.09,0.01
405,0.04,0.03
407,0.03,0.02
409,0.05,0.01
411,0.02,0.02
413,0.03,0.01
415,0.03,0.03
417,0.02,0.02
419,0.02,0.02
421,0.04,0.04
423,0.04,0.02
425,0.03,0.02
427,0.04,0.01
429,0.04,0.02
431,0.04,0.01
433,0.05,0.01
435,0.04,0.01
437,0.07,0.01
439,0.13,0.01
441,0.05,0.01
443,0.05,0.01
445,0.04,0.01
447,0.04,0.01
449,0.02,0.01
451,0.04,0.01
453,0.02,0.01
455,0.04,0.01
457,0.06,0.01
459,0.05,0.01
461,0.05,0.0
463,0.12,0.0
465,0.06,0.0
467,0.07,0.0
469,0.09,0.0
471,0.09,0.0
473,0.06,0.0
475,0.06,0.0
477,0.07,0.0
479,0.04,0.0
481,0.03,0.01
483,0.04,0.01
484,0.05,0.0
486,0.03,0.0
488,0.03,0.01
490,0.06,0.0
492,0.04,0.0
494,0.05,0.01
496,0.05,0.0
498,0.04,0.0
500,0.04,0.0
502,0.06,0.0
504,0.04,0.0
506,0.03,0.0
508,0.08,0.0
510,0.05,0.01
512,0.05,0.01
514,0.07,0.0
516,0.07,0.0
518,0.05,0.01
520,0.06,0.0
522,0.07,0.01
524,0.06,0.01
526,0.08,0.01
528,0.09,0.01
530,0.09,0.0
532,0.08,0.0
534,0.06,0.0
536,0.04,0.0
538,0.04,0.0
540,0.03,0.01
542,0.04,0.0
544,0.02,0.0
546,0.05,0.0
548,0.04,0.0
550,0.05,0.01
552,0.04,0.01
554,0.04,0.0
556,0.05,0.0
558,0.03,0.01
560,0.03,0.0
562,0.06,0.0
564,0.03,0.01
566,0.03,0.01
568,0.04,0.01
570,0.03,0.01
571,0.04,0.0
573,0.05,0.0
575,0.04,0.01
577,0.03,0.0
579,0.06,0.01
581,0.04,0.0
583,0.06,0.0
585,0.04,0.0
587,0.04,0.0
589,0.05,0.0
591,0.04,0.01
593,0.03,0.0
595,0.05,0.0
597,0.05,0.01
599,0.04,0.0
601,0.04,0.0
603,0.04,0.01
605,0.03,0.0
607,0.08,0.0
609,0.02,0.01
611,0.08,0.0
613,0.07,0.0
615,0.04,0.01
617,0.06,0.0
619,0.06,0.0
621,0.02,0.0
623,0.05,0.0
625,0.07,0.0
627,0.03,0.0
629,0.06,0.0
631,0.03,0.0
633,0.05,0.0
635,0.08,0.01
637,0.08,0.0
639,0.04,0.0
641,0.05,0.0
643,0.04,0.01
645,0.03,0.0
647,0.06,0.0
649,0.04,0.01
651,0.04,0.0
653,0.05,0.0
655,0.05,0.0
657,0.04,0.01
658,0.04,0.0
660,0.04,0.01
662,0.03,0.0
664,0.05,0.01
666,0.04,0.01
668,0.04,0.0
670,0.06,0.0
672,0.02,0.01
674,0.02,0.01
676,0.04,0.0
678,0.03,0.0
680,0.03,0.0
682,0.06,0.0
684,0.04,0.01
686,0.05,0.01
688,0.04,0.0
690,0.03,0.0
692,0.1,0.0
694,0.05,0.0
696,0.04,0.0
698,0.04,0.0
700,0.07,0.0
702,0.04,0.01
704,0.06,0.0
706,0.06,0.0
708,0.04,0.01
710,0.06,0.0
712,0.06,0.0
714,0.03,0.0
716,0.05,0.0
718,0.07,0.0
720,0.06,0.01
722,0.05,0.01
724,0.05,0.0
726,0.04,0.0
728,0.05,0.0
730,0.07,0.01
732,0.06,0.0
734,0.03,0.0
736,0.04,0.0
738,0.03,0.0
740,0.04,0.0
742,0.03,0.0
744,0.05,0.0
746,0.06,0.0
747,0.04,0.01
749,0.06,0.0
751,0.06,0.0
753,0.05,0.0
755,0.08,0.0
757,0.07,0.0
759,0.05,0.01
761,0.06,0.0
763,0.11,0.0
765,0.07,0.0
767,0.08,0.0
769,0.07,0.0
771,0.04,0.0
773,0.09,0.0
775,0.08,0.0
777,0.07,0.01
779,0.08,0.01
781,0.1,0.01
783,0.06,0.01
785,0.1,0.0
787,0.1,0.0
789,0.06,0.0
791,0.11,0.0
793,0.09,0.0
795,0.04,0.0
797,0.07,0.0
799,0.07,0.0
801,0.07,0.0
803,0.07,0.0
805,0.06,0.01
807,0.08,0.0
809,0.07,0.0
811,0.04,0.0
813,0.06,0.0
815,0.06,0.0
817,0.06,0.01
819,0.05,0.01
821,0.05,0.0
