normalize,fear,happy
0,0.02,0.22
20,0.02,0.06
40,0.01,0.06
59,0.03,0.04
79,0.02,0.12
99,0.03,0.03
119,0.02,0.02
139,0.0,0.07
158,0.02,0.09
178,0.02,0.07
198,0.03,0.06
218,0.02,0.05
238,0.01,0.03
257,0.02,0.04
277,0.02,0.04
297,0.01,0.06
317,0.03,0.04
336,0.03,0.03
356,0.02,0.04
376,0.03,0.03
396,0.02,0.06
416,0.03,0.01
435,0.02,0.04
455,0.02,0.01
475,0.06,0.01
495,0.02,0.0
515,0.02,0.0
534,0.03,0.0
554,0.04,0.0
574,0.03,0.01
594,0.02,0.0
614,0.06,0.0
633,0.02,0.0
653,0.04,0.0
673,0.02,0.0
693,0.02,0.0
713,0.04,0.0
732,0.02,0.0
752,0.03,0.0
772,0.03,0.0
792,0.05,0.0
812,0.02,0.0
831,0.04,0.0
851,0.05,0.0
871,0.03,0.0
891,0.04,0.0
910,0.01,0.0
930,0.03,0.0
950,0.02,0.0
970,0.02,0.0
990,0.01,0.0
1009,0.02,0.0
1029,0.03,0.0
1049,0.01,0.0
1069,0.04,0.0
1089,0.03,0.0
1108,0.01,0.0
1128,0.02,0.0
1148,0.01,0.0
1168,0.01,0.0
1188,0.01,0.0
1207,0.01,0.0
1227,0.02,0.0
1247,0.02,0.0
1267,0.04,0.0
1287,0.02,0.0
1306,0.03,0.0
1326,0.03,0.0
1346,0.04,0.0
1366,0.02,0.0
1386,0.02,0.0
1405,0.02,0.0
1425,0.02,0.0
1445,0.03,0.0
1465,0.01,0.0
1484,0.04,0.0
1504,0.02,0.0
1524,0.04,0.0
1544,0.03,0.0
1564,0.01,0.0
1583,0.01,0.0
1603,0.02,0.0
1623,0.02,0.0
1643,0.01,0.0
1663,0.03,0.0
1682,0.01,0.0
1702,0.02,0.0
1722,0.05,0.0
1742,0.05,0.0
1762,0.02,0.0
1781,0.03,0.0
1801,0.03,0.0
1821,0.02,0.0
1841,0.07,0.0
1861,0.05,0.0
1880,0.06,0.0
1900,0.04,0.0
1920,0.06,0.0
1940,0.04,0.0
1960,0.09,0.0
1979,0.02,0.0
1999,0.05,0.0
2019,0.05,0.0
2039,0.04,0.0
2058,0.04,0.0
2078,0.04,0.0
2098,0.03,0.0
2118,0.04,0.0
2138,0.07,0.0
2157,0.03,0.0
2177,0.02,0.0
2197,0.03,0.0
2217,0.02,0.0
2237,0.05,0.0
2256,0.03,0.0
2276,0.04,0.0
2296,0.03,0.0
2316,0.06,0.0
2336,0.04,0.0
2355,0.07,0.0
2375,0.04,0.0
2395,0.04,0.0
2415,0.01,0.0
2435,0.03,0.01
2454,0.01,0.0
2474,0.01,0.0
2494,0.02,0.0
2514,0.02,0.0
2534,0.01,0.0
2553,0.02,0.0
2573,0.04,0.0
2593,0.02,0.0
2613,0.03,0.0
2633,0.01,0.0
2652,0.04,0.0
2672,0.02,0.0
2692,0.02,0.0
2712,0.02,0.0
2731,0.03,0.0
2751,0.04,0.0
2771,0.03,0.0
2791,0.03,0.0
2811,0.02,0.0
2830,0.04,0.0
2850,0.01,0.0
