,angry,disgust,fear,happy,sad,surprise,neutral,frame
0,0.0,0.0,0.02,0.22,0.03,0.0,0.72,0
1,0.0,0.0,0.02,0.06,0.02,0.0,0.9,10
2,0.0,0.0,0.01,0.06,0.01,0.0,0.91,20
3,0.0,0.0,0.03,0.04,0.03,0.0,0.89,30
4,0.0,0.0,0.02,0.12,0.02,0.0,0.84,40
5,0.0,0.0,0.03,0.03,0.02,0.0,0.91,50
6,0.0,0.0,0.02,0.02,0.02,0.0,0.94,60
7,0.0,0.0,0.0,0.07,0.01,0.0,0.91,70
8,0.0,0.0,0.02,0.09,0.03,0.0,0.86,80
9,0.0,0.0,0.02,0.07,0.02,0.0,0.89,90
10,0.0,0.0,0.03,0.06,0.02,0.0,0.88,100
11,0.0,0.0,0.02,0.05,0.01,0.0,0.91,110
12,0.0,0.0,0.01,0.03,0.02,0.0,0.94,120
13,0.0,0.0,0.02,0.04,0.03,0.0,0.9,130
14,0.0,0.0,0.02,0.04,0.02,0.0,0.92,140
15,0.0,0.0,0.01,0.06,0.02,0.0,0.91,150
16,0.0,0.0,0.03,0.04,0.02,0.0,0.91,160
17,0.0,0.0,0.03,0.03,0.03,0.0,0.9,170
18,0.0,0.0,0.02,0.04,0.03,0.0,0.91,180
19,0.0,0.0,0.03,0.03,0.02,0.0,0.92,190
20,0.0,0.0,0.02,0.06,0.02,0.0,0.9,200
21,0.0,0.0,0.03,0.01,0.02,0.0,0.93,210
22,0.0,0.0,0.02,0.04,0.02,0.0,0.92,220
23,0.0,0.0,0.02,0.01,0.03,0.0,0.93,230
24,0.0,0.0,0.06,0.01,0.05,0.0,0.88,240
25,0.0,0.0,0.02,0.0,0.02,0.0,0.95,250
26,0.0,0.0,0.02,0.0,0.04,0.0,0.94,260
27,0.0,0.0,0.03,0.0,0.03,0.0,0.93,270
28,0.0,0.0,0.04,0.0,0.03,0.0,0.93,280
29,0.0,0.0,0.03,0.01,0.02,0.0,0.94,290
30,0.0,0.0,0.02,0.0,0.02,0.0,0.95,300
31,0.0,0.0,0.06,0.0,0.03,0.0,0.9,310
32,0.0,0.0,0.02,0.0,0.02,0.0,0.96,320
33,0.0,0.0,0.04,0.0,0.04,0.0,0.91,330
34,0.0,0.0,0.02,0.0,0.02,0.0,0.95,340
35,0.0,0.0,0.02,0.0,0.03,0.0,0.94,350
36,0.0,0.0,0.04,0.0,0.04,0.0,0.91,360
37,0.0,0.0,0.02,0.0,0.03,0.0,0.95,370
38,0.0,0.0,0.03,0.0,0.04,0.0,0.93,380
39,0.0,0.0,0.03,0.0,0.03,0.0,0.93,390
40,0.0,0.0,0.05,0.0,0.04,0.0,0.91,400
41,0.0,0.0,0.02,0.0,0.03,0.0,0.94,410
42,0.0,0.0,0.04,0.0,0.04,0.0,0.92,420
43,0.0,0.0,0.05,0.0,0.03,0.0,0.91,430
44,0.0,0.0,0.03,0.0,0.04,0.0,0.93,440
45,0.0,0.0,0.04,0.0,0.04,0.0,0.91,450
46,0.0,0.0,0.01,0.0,0.03,0.0,0.96,460
47,0.0,0.0,0.03,0.0,0.04,0.0,0.93,470
48,0.01,0.0,0.02,0.0,0.03,0.0,0.94,480
49,0.0,0.0,0.02,0.0,0.04,0.0,0.94,490
50,0.0,0.0,0.01,0.0,0.02,0.0,0.96,500
51,0.0,0.0,0.02,0.0,0.03,0.0,0.94,510
52,0.0,0.0,0.03,0.0,0.03,0.0,0.94,520
53,0.0,0.0,0.01,0.0,0.01,0.0,0.97,530
54,0.01,0.0,0.04,0.0,0.04,0.0,0.91,540
55,0.0,0.0,0.03,0.0,0.03,0.0,0.94,550
56,0.0,0.0,0.01,0.0,0.02,0.0,0.96,560
57,0.0,0.0,0.02,0.0,0.04,0.0,0.93,570
58,0.0,0.0,0.01,0.0,0.03,0.0,0.96,580
59,0.0,0.0,0.01,0.0,0.03,0.0,0.95,590
60,0.0,0.0,0.01,0.0,0.03,0.0,0.95,600
61,0.0,0.0,0.01,0.0,0.02,0.0,0.96,610
62,0.0,0.0,0.02,0.0,0.02,0.0,0.95,620
63,0.0,0.0,0.02,0.0,0.04,0.0,0.94,630
64,0.01,0.0,0.04,0.0,0.05,0.0,0.9,640
65,0.0,0.0,0.02,0.0,0.05,0.0,0.92,650
66,0.0,0.0,0.03,0.0,0.03,0.0,0.94,660
67,0.0,0.0,0.03,0.0,0.04,0.0,0.92,670
68,0.0,0.0,0.04,0.0,0.04,0.0,0.91,680
69,0.0,0.0,0.02,0.0,0.03,0.0,0.94,690
70,0.0,0.0,0.02,0.0,0.03,0.0,0.94,700
71,0.0,0.0,0.02,0.0,0.03,0.0,0.94,710
72,0.0,0.0,0.02,0.0,0.03,0.0,0.95,720
